icd11_code,icd11_term,icd11_description,embed_text
8A80,Primary headache disorders,Pain located in head or neck,Primary headache disorders | Pain located in head or neck | 8A80
FA20,Rheumatoid arthritis,Chronic inflammatory joint disease,Rheumatoid arthritis | Chronic inflammatory joint disease | FA20
FA00,Osteoarthritis,Degenerative joint disease,Osteoarthritis | Degenerative joint disease | FA00
3A60,Sickle cell disease,Hemoglobin disorder,Sickle cell disease | Hemoglobin disorder | 3A60
1C40,Malaria,Parasitic infection,Malaria | Parasitic infection | 1C40
BA42,Atrial fibrillation,Irregular heart rhythm,Atrial fibrillation | Irregular heart rhythm | BA42
MF52,Retention of urine,Inability to void urine,Retention of urine | Inability to void urine | MF52
GC80,Urolithiasis,Formation of stones in urinary tract,Urolithiasis | Formation of stones in urinary tract | GC80
GA22,Excessive vaginal discharge,Abnormal vaginal discharge,Excessive vaginal discharge | Abnormal vaginal discharge | GA22
5B81,Overweight or obesity,Excess body fat,Overweight or obesity | Excess body fat | 5B81
1A00,Cholera,Acute diarrheal infection,Cholera | Acute diarrheal infection | 1A00
FA02,Juvenile arthritis,Childhood joint inflammation,Juvenile arthritis | Childhood joint inflammation | FA02
ME0Y,Biliary disorders,Bile-related conditions,Biliary disorders | Bile-related conditions | ME0Y
2B90,Benign neoplasms,Non-malignant growths,Benign neoplasms | Non-malignant growths | 2B90
8A62,Parkinson disease,Progressive neurological disorder,Parkinson disease | Progressive neurological disorder | 8A62
2A70,Breast cancer,Malignant breast neoplasm,Breast cancer | Malignant breast neoplasm | 2A70
6A41,Panic disorder,Recurrent panic attacks,Panic disorder | Recurrent panic attacks | 6A41
1D00,HIV disease,Human immunodeficiency virus,HIV disease | Human immunodeficiency virus | 1D00
5A10,Type 1 diabetes mellitus,Metabolic disorder,Type 1 diabetes mellitus | Metabolic disorder | 5A10
6A60,Bipolar disorder,Mood cycling disorder,Bipolar disorder | Mood cycling disorder | 6A60
GC08,Chronic kidney disease,Progressive kidney failure,Chronic kidney disease | Progressive kidney failure | GC08
6A71,Major depression,Severe depressive episode,Major depression | Severe depressive episode | 6A71
1B10,Tuberculosis,Mycobacterial infection,Tuberculosis | Mycobacterial infection | 1B10
2A60,Lung cancer,Malignant lung neoplasm,Lung cancer | Malignant lung neoplasm | 2A60
EA85,Psoriasis,Chronic skin inflammation,Psoriasis | Chronic skin inflammation | EA85
FB52,Osteoporosis,Bone density loss,Osteoporosis | Bone density loss | FB52
CB41,Pneumonia,Lung infection,Pneumonia | Lung infection | CB41
4A01,Lymphadenopathy,Enlarged lymph nodes,Lymphadenopathy | Enlarged lymph nodes | 4A01
JA63,Gestational diabetes,Pregnancy diabetes,Gestational diabetes | Pregnancy diabetes | JA63
BA11,Acute myocardial infarction,Heart attack,Acute myocardial infarction | Heart attack | BA11
