namaste_code,namaste_term,namaste_original_script,namaste_transliteration,namaste_english,namaste_description,synonyms,icd11_code,icd11_term,icd11_description,mapping_equivalence,mapping_confidence,source,status
SAT-J.027,leucorrhea,प्रदर,pradara,leucorrhea,Excessive vaginal discharge,white discharge|vaginal secretion,NE61,Fractures,Bone breaks,related,0.54,auto,proposed
SAT-G.028,miscarriage,गर्भस्राव,garbhasrāva,miscarriage,Spontaneous pregnancy loss,abortion|fetal loss,JA00,Pregnancy with abortive outcome,Termination of pregnancy,broader,0.652,manual,proposed
SAT-G.029,diabetes,प्रमेह,prameha,diabetes,Metabolic disorder with sweet urine,diabetes mellitus|sweet urine,NE80,Burns,Thermal injuries,broader,0.535,auto,approved
SAT-E.030,obesity,स्थौल्य,sthaulya,obesity,Excessive body weight,overweight|corpulence,GA11,Endometriosis,Uterine tissue displacement,narrower,0.631,auto,curated
SAT-I.031,underweight,कृश,kṛśa,underweight,Below normal body weight,emaciation|thinness,5B82,Underweight,Below normal weight,equivalent,0.936,seed,curated
SAT-H.032,psychosis,उन्माद,unmāda,psychosis,Mental disorder with loss of reality,insanity|mental derangement,6A20,Schizophrenia,Psychotic disorder,related,0.672,auto,proposed
SAT-C.033,amnesia,अपस्मृति,apasmṛti,amnesia,Loss of memory,memory loss|forgetfulness,6D72,Amnesia,Loss of memory function,equivalent,0.809,manual,curated
SAT-F.034,anxiety,चित्तोद्वेग,cittodvega,anxiety,Mental restlessness and worry,nervousness|mental agitation,6B00,Anxiety disorders,Excessive fear or anxiety,broader,0.623,auto,approved
SID-8.3.35,rheumatism,வாதம்,vātam,rheumatism,Joint and muscle pain disorder,rheumatic pain|joint disorders,FA20,Rheumatoid arthritis,Inflammatory joint disease,related,0.778,manual,curated
SID-6.3.36,biliary disorders,பித்தம்,pittam,biliary disorders,Liver and gallbladder related conditions,bile disorders|hepatic problems,DA90,Liver disorders,Hepatic dysfunction,broader,0.708,auto,approved
SID-3.1.37,respiratory congestion,கபம்,kapam,respiratory congestion,Phlegm related respiratory issues,mucus disorders|catarrh,CA25,Chronic respiratory diseases,Long-term airway problems,related,0.579,manual,proposed
SID-1.6.38,abdominal tumors,குன்மம்,kunmam,abdominal tumors,Growth in abdominal cavity,gastric mass|abdominal swelling,2A00,Malignant neoplasms,Cancerous growth,narrower,0.533,manual,proposed
SID-9.7.39,lymph node enlargement,கிரந்தி,kiranthi,lymph node enlargement,Swollen lymph glands,lymphadenopathy|glandular swelling,8.00E+40,Peripheral neuropathy,Nerve damage,related,0.576,auto,approved
UNA-6.8.40,bilious temperament,صفرا,ṣafrā,bilious temperament,Excess of yellow bile humor,choleric humor|hot temperament,8.00E+40,Peripheral neuropathy,Nerve damage,broader,0.391,auto,proposed
UNA-4.7.41,phlegmatic temperament,بلغم,balgham,phlegmatic temperament,Excess of phlegm humor,cold humid temperament|mucus,CA2Y,Respiratory mucus disorders,Excessive mucus production,related,0.592,auto,approved
UNA-13.8.42,sanguine temperament,دم,dam,sanguine temperament,Blood-related disorders,blood humor|circulation,3A1Y,Blood disorders,Hematological conditions,unmapped,0,seed,proposed
UNA-12.8.43,melancholic temperament,سودا,sawdā,melancholic temperament,Black bile excess,melancholic humor|depression,6A70,Mood disorders,Depressive conditions,equivalent,0.521,auto,proposed
UNA-8.2.44,fevers,حمیات,ḥumayāt,fevers,Pyretic conditions,fever disorders|pyrexia,1G00,Fever,Elevated body temperature,broader,0.749,manual,approved
SAT-H.045,indigestion,अजीर्ण,ajīrṇa,indigestion,Impaired digestion due to weakened digestive fire (agni),dyspepsia|poor digestion,8B11,Alzheimer disease,Progressive dementia,narrower,0.643,auto,curated
SAT-D.046,diarrhea,अतिसार,atisāra,diarrhea,Excessive loose bowel movements with increased frequency,loose motions|frequent stools,ME05,Diarrhoea,Passage of loose or liquid stools,equivalent,0.877,seed,curated
SAT-H.047,malabsorption syndrome,ग्रहणी,grahaṇī,malabsorption syndrome,Disorder of small intestine affecting absorption,sprue|absorption disorder,3A20,Iron deficiency anemia,Lack of iron in blood,narrower,0.59,auto,curated
SAT-D.048,hemorrhoids,अर्श,arśa,hemorrhoids,Swollen blood vessels in anal canal,piles|anal varices,9B71,Haemorrhoids,Swollen veins in the anal canal,equivalent,0.853,seed,curated
SAT-I.049,asthma,श्वास,śvāsa,asthma,Difficulty in breathing with wheeze,breathing difficulty|dyspnea,CA23,Asthma,Chronic inflammatory airway disease,equivalent,0.819,auto,approved
SAT-I.050,cough,कास,kāsa,cough,Forceful expulsion of air from lungs,tussis|persistent cough,MD12,Cough,Sudden expulsion of air from lungs,equivalent,0.984,manual,curated
SAT-E.051,hiccup,हिक्का,hikkā,hiccup,Involuntary diaphragmatic spasm,hiccough|spasmodic breathing,DA94,Inflammatory bowel disease,Chronic intestinal inflammation,related,0.542,seed,curated
SAT-G.052,common cold,प्रतिश्याय,pratiśyāya,common cold,Viral upper respiratory tract infection,rhinitis|nasal congestion,CA08,Acute upper respiratory infections,Viral infection of upper airways,narrower,0.77,auto,proposed
SAT-E.053,epilepsy,अपस्मार,apasmāra,epilepsy,Recurrent seizures due to abnormal brain activity,seizure disorder|convulsions,DA61,Peptic ulcer,Stomach or duodenal ulcer,narrower,0.591,seed,curated
SAT-D.054,migraine,अर्धावभेदक,ardhāvabhedaka,migraine,Unilateral throbbing headache,hemicrania|sick headache,8A80.1,Migraine without aura,Primary headache disorder,equivalent,0.913,auto,curated
SAT-F.055,headache,शिरशूल,śiraśūla,headache,Pain in head and neck region,cephalgia|head pain,8A80,Primary headache disorders,Pain located in head or neck,broader,0.674,manual,approved
SAT-E.056,hemiplegia,पक्षाघात,pakṣāghāta,hemiplegia,Paralysis of one side of body,stroke|cerebral palsy,8B20,Hemiplegia,Paralysis affecting one side,equivalent,0.978,auto,curated
SAT-F.057,rheumatoid arthritis,आमवात,āmavāta,rheumatoid arthritis,Joint inflammation with morning stiffness,inflammatory arthritis|joint pain,FA20,Rheumatoid arthritis,Chronic inflammatory joint disease,equivalent,0.743,manual,curated
SAT-F.058,osteoarthritis,सन्धिवात,sandhivāta,osteoarthritis,Degenerative joint disease,joint degeneration|arthritis,FA00,Osteoarthritis,Degenerative joint disease,equivalent,0.847,auto,curated
SAT-G.059,low back pain,कटिशूल,kaṭiśūla,low back pain,Pain in lumbar region,lumbago|backache,5A11,Type 2 diabetes,Non-insulin dependent diabetes,related,0.554,auto,proposed
SAT-I.060,neck stiffness,ग्रीवास्तम्भ,grīvāstambha,neck stiffness,Restricted neck movement,cervical stiffness|torticollis,3A60,Sickle cell disease,Hemoglobin disorder,broader,0.571,auto,proposed
SAT-D.061,leprosy,कुष्ठ,kuṣṭha,leprosy,Chronic infectious skin disease,hansen disease|skin infection,1B20,Leprosy,Chronic infectious disease,equivalent,0.923,auto,curated
SAT-I.062,eczema,एककुष्ठ,ekakuṣṭha,eczema,Inflammatory skin condition,dermatitis|skin inflammation,EA80,Atopic dermatitis,Chronic inflammatory skin disease,related,0.768,manual,approved
SAT-H.063,ringworm,दद्रु,dadru,ringworm,Fungal skin infection,tinea|fungal dermatitis,1C40,Malaria,Parasitic infection,related,0.659,auto,approved
SAT-J.064,wound,व्रण,vraṇa,wound,Break in skin continuity,ulcer|sore,NE70,Open wound,Disruption of skin integrity,unmapped,0,auto,proposed
SAT-I.065,heart disease,हृदरोग,hṛdaroga,heart disease,Cardiac disorders,cardiac disease|heart problems,BA00,Heart diseases,Disorders of the heart,broader,0.705,manual,proposed
SAT-E.066,bleeding disorders,रक्तप्रदर,raktapradara,bleeding disorders,Excessive bleeding tendency,hemorrhage|bleeding,3A10,Bleeding disorders,Impaired hemostasis,narrower,0.74,manual,proposed
SAT-F.067,hypertension,उच्चरक्तचाप,uccaraktacāpa,hypertension,Elevated blood pressure,high BP|arterial hypertension,BA00,Hypertensive diseases,Elevated arterial pressure,broader,0.717,auto,curated
SAT-D.068,dysuria,मूत्रकृच्छ,mūtrakṛcchra,dysuria,Painful urination,difficult urination|burning micturition,BA42,Atrial fibrillation,Irregular heart rhythm,narrower,0.655,auto,approved
SAT-D.069,urinary retention,मूत्राघात,mūtrāghāta,urinary retention,Inability to empty bladder,retention of urine|anuria,MF52,Retention of urine,Inability to void urine,equivalent,0.883,auto,curated
SAT-H.070,urinary stones,अश्मरी,aśmarī,urinary stones,Calculi in urinary tract,kidney stones|nephrolithiasis,GC80,Urolithiasis,Formation of stones in urinary tract,equivalent,0.948,auto,approved
SAT-D.071,menstrual disorders,रजोदोष,rajodoṣa,menstrual disorders,Irregularities in menstruation,menstrual problems|cycle disorders,GA34,Menstrual disorders,Abnormalities of menstruation,narrower,0.834,auto,curated
SAT-C.072,leucorrhea,प्रदर,pradara,leucorrhea,Excessive vaginal discharge,white discharge|vaginal secretion,GA22,Excessive vaginal discharge,Abnormal vaginal discharge,equivalent,0.788,auto,proposed
SAT-G.073,miscarriage,गर्भस्राव,garbhasrāva,miscarriage,Spontaneous pregnancy loss,abortion|fetal loss,JA00,Pregnancy with abortive outcome,Termination of pregnancy,narrower,0.614,auto,curated
SAT-I.074,diabetes,प्रमेह,prameha,diabetes,Metabolic disorder with sweet urine,diabetes mellitus|sweet urine,BA42,Atrial fibrillation,Irregular heart rhythm,broader,0.553,auto,curated
SAT-C.075,obesity,स्थौल्य,sthaulya,obesity,Excessive body weight,overweight|corpulence,5B81,Overweight or obesity,Excess body fat,equivalent,0.865,manual,approved
SAT-J.076,underweight,कृश,kṛśa,underweight,Below normal body weight,emaciation|thinness,5B82,Underweight,Below normal weight,unmapped,0,auto,proposed
SAT-D.077,psychosis,उन्माद,unmāda,psychosis,Mental disorder with loss of reality,insanity|mental derangement,1A00,Cholera,Acute diarrheal infection,broader,0.455,manual,proposed
SAT-H.078,amnesia,अपस्मृति,apasmṛti,amnesia,Loss of memory,memory loss|forgetfulness,3A20,Iron deficiency anemia,Lack of iron in blood,related,0.605,manual,proposed
SAT-H.079,anxiety,चित्तोद्वेग,cittodvega,anxiety,Mental restlessness and worry,nervousness|mental agitation,DA61,Peptic ulcer,Stomach or duodenal ulcer,related,0.543,manual,approved
SID-1.6.80,rheumatism,வாதம்,vātam,rheumatism,Joint and muscle pain disorder,rheumatic pain|joint disorders,NE61,Fractures,Bone breaks,narrower,0.428,auto,proposed
SID-2.9.81,biliary disorders,பித்தம்,pittam,biliary disorders,Liver and gallbladder related conditions,bile disorders|hepatic problems,DA90,Liver disorders,Hepatic dysfunction,broader,0.573,auto,approved
SID-8.6.82,respiratory congestion,கபம்,kapam,respiratory congestion,Phlegm related respiratory issues,mucus disorders|catarrh,CA25,Chronic respiratory diseases,Long-term airway problems,related,0.698,auto,curated
SID-4.4.83,abdominal tumors,குன்மம்,kunmam,abdominal tumors,Growth in abdominal cavity,gastric mass|abdominal swelling,2A00,Malignant neoplasms,Cancerous growth,related,0.57,manual,approved
SID-4.1.84,lymph node enlargement,கிரந்தி,kiranthi,lymph node enlargement,Swollen lymph glands,lymphadenopathy|glandular swelling,FA02,Juvenile arthritis,Childhood joint inflammation,narrower,0.609,manual,proposed
UNA-12.3.85,bilious temperament,صفرا,ṣafrā,bilious temperament,Excess of yellow bile humor,choleric humor|hot temperament,ME0Y,Biliary disorders,Bile-related conditions,related,0.513,manual,approved
UNA-10.7.86,phlegmatic temperament,بلغم,balgham,phlegmatic temperament,Excess of phlegm humor,cold humid temperament|mucus,CA2Y,Respiratory mucus disorders,Excessive mucus production,equivalent,0.653,auto,approved
UNA-8.3.87,sanguine temperament,دم,dam,sanguine temperament,Blood-related disorders,blood humor|circulation,3A1Y,Blood disorders,Hematological conditions,broader,0.503,seed,proposed
UNA-13.2.88,melancholic temperament,سودا,sawdā,melancholic temperament,Black bile excess,melancholic humor|depression,8.00E+40,Peripheral neuropathy,Nerve damage,narrower,0.373,auto,proposed
UNA-6.3.89,fevers,حمیات,ḥumayāt,fevers,Pyretic conditions,fever disorders|pyrexia,2B90,Benign neoplasms,Non-malignant growths,related,0.558,auto,approved
SAT-J.090,indigestion,अजीर्ण,ajīrṇa,indigestion,Impaired digestion due to weakened digestive fire (agni),dyspepsia|poor digestion,8A25,Gastritis,Inflammation of the gastric mucosa,equivalent,0.764,auto,curated
SAT-B.091,diarrhea,अतिसार,atisāra,diarrhea,Excessive loose bowel movements with increased frequency,loose motions|frequent stools,ME05,Diarrhoea,Passage of loose or liquid stools,equivalent,0.884,auto,curated
SAT-H.092,malabsorption syndrome,ग्रहणी,grahaṇī,malabsorption syndrome,Disorder of small intestine affecting absorption,sprue|absorption disorder,8B11,Alzheimer disease,Progressive dementia,related,0.6,manual,proposed
SAT-A.093,hemorrhoids,अर्श,arśa,hemorrhoids,Swollen blood vessels in anal canal,piles|anal varices,8A62,Parkinson disease,Progressive neurological disorder,related,0.7,auto,approved
SAT-G.094,asthma,श्वास,śvāsa,asthma,Difficulty in breathing with wheeze,breathing difficulty|dyspnea,CA23,Asthma,Chronic inflammatory airway disease,equivalent,0.932,manual,curated
SAT-H.095,cough,कास,kāsa,cough,Forceful expulsion of air from lungs,tussis|persistent cough,MD12,Cough,Sudden expulsion of air from lungs,equivalent,0.984,auto,approved
SAT-J.096,hiccup,हिक्का,hikkā,hiccup,Involuntary diaphragmatic spasm,hiccough|spasmodic breathing,MD80,Hiccup,Involuntary contraction of diaphragm,equivalent,0.939,auto,curated
SAT-F.097,common cold,प्रतिश्याय,pratiśyāya,common cold,Viral upper respiratory tract infection,rhinitis|nasal congestion,FA02,Juvenile arthritis,Childhood joint inflammation,broader,0.584,seed,approved
SAT-D.098,epilepsy,अपस्मार,apasmāra,epilepsy,Recurrent seizures due to abnormal brain activity,seizure disorder|convulsions,8A61,Epilepsy,Recurrent unprovoked seizures,equivalent,0.869,auto,approved
SAT-J.099,migraine,अर्धावभेदक,ardhāvabhedaka,migraine,Unilateral throbbing headache,hemicrania|sick headache,8A62,Parkinson disease,Progressive neurological disorder,broader,0.578,manual,proposed
SAT-E.100,headache,शिरशूल,śiraśūla,headache,Pain in head and neck region,cephalgia|head pain,8A80,Primary headache disorders,Pain located in head or neck,unmapped,0,auto,proposed
SAT-F.101,hemiplegia,पक्षाघात,pakṣāghāta,hemiplegia,Paralysis of one side of body,stroke|cerebral palsy,8B20,Hemiplegia,Paralysis affecting one side,equivalent,0.814,auto,curated
SAT-E.102,rheumatoid arthritis,आमवात,āmavāta,rheumatoid arthritis,Joint inflammation with morning stiffness,inflammatory arthritis|joint pain,FA20,Rheumatoid arthritis,Chronic inflammatory joint disease,equivalent,0.797,auto,proposed
SAT-B.103,osteoarthritis,सन्धिवात,sandhivāta,osteoarthritis,Degenerative joint disease,joint degeneration|arthritis,2A70,Breast cancer,Malignant breast neoplasm,related,0.617,auto,curated
SAT-F.104,low back pain,कटिशूल,kaṭiśūla,low back pain,Pain in lumbar region,lumbago|backache,BB01,Stroke,Cerebrovascular accident,broader,0.57,auto,curated
SAT-E.105,neck stiffness,ग्रीवास्तम्भ,grīvāstambha,neck stiffness,Restricted neck movement,cervical stiffness|torticollis,ME84.1,Neck pain,Pain or stiffness in neck,related,0.655,seed,curated
SAT-I.106,leprosy,कुष्ठ,kuṣṭha,leprosy,Chronic infectious skin disease,hansen disease|skin infection,1B20,Leprosy,Chronic infectious disease,equivalent,0.922,auto,approved
SAT-E.107,eczema,एककुष्ठ,ekakuṣṭha,eczema,Inflammatory skin condition,dermatitis|skin inflammation,2A70,Breast cancer,Malignant breast neoplasm,narrower,0.52,seed,approved
SAT-C.108,ringworm,दद्रु,dadru,ringworm,Fungal skin infection,tinea|fungal dermatitis,1F28,Dermatophytosis,Superficial fungal infection,equivalent,0.809,seed,approved
SAT-D.109,wound,व्रण,vraṇa,wound,Break in skin continuity,ulcer|sore,5A40,Thyroid disorders,Thyroid gland dysfunction,related,0.395,manual,proposed
SAT-F.110,heart disease,हृदरोग,hṛdaroga,heart disease,Cardiac disorders,cardiac disease|heart problems,BA00,Heart diseases,Disorders of the heart,broader,0.817,manual,approved
SAT-J.111,bleeding disorders,रक्तप्रदर,raktapradara,bleeding disorders,Excessive bleeding tendency,hemorrhage|bleeding,3A10,Bleeding disorders,Impaired hemostasis,related,0.751,auto,approved
SAT-H.112,hypertension,उच्चरक्तचाप,uccaraktacāpa,hypertension,Elevated blood pressure,high BP|arterial hypertension,6A41,Panic disorder,Recurrent panic attacks,broader,0.563,seed,approved
SAT-B.113,dysuria,मूत्रकृच्छ,mūtrakṛcchra,dysuria,Painful urination,difficult urination|burning micturition,MF50,Dysuria,Painful or difficult urination,equivalent,1,auto,approved
SAT-E.114,urinary retention,मूत्राघात,mūtrāghāta,urinary retention,Inability to empty bladder,retention of urine|anuria,MF52,Retention of urine,Inability to void urine,equivalent,0.963,auto,approved
SAT-F.115,urinary stones,अश्मरी,aśmarī,urinary stones,Calculi in urinary tract,kidney stones|nephrolithiasis,GC80,Urolithiasis,Formation of stones in urinary tract,broader,0.884,seed,approved
SAT-J.116,menstrual disorders,रजोदोष,rajodoṣa,menstrual disorders,Irregularities in menstruation,menstrual problems|cycle disorders,1D00,HIV disease,Human immunodeficiency virus,equivalent,0.455,manual,proposed
SAT-F.117,leucorrhea,प्रदर,pradara,leucorrhea,Excessive vaginal discharge,white discharge|vaginal secretion,GA22,Excessive vaginal discharge,Abnormal vaginal discharge,equivalent,0.876,seed,curated
SAT-A.118,miscarriage,गर्भस्राव,garbhasrāva,miscarriage,Spontaneous pregnancy loss,abortion|fetal loss,JA00,Pregnancy with abortive outcome,Termination of pregnancy,broader,0.761,auto,curated
SAT-A.119,diabetes,प्रमेह,prameha,diabetes,Metabolic disorder with sweet urine,diabetes mellitus|sweet urine,5A10,Type 1 diabetes mellitus,Metabolic disorder,unmapped,0,seed,proposed
SAT-G.120,obesity,स्थौल्य,sthaulya,obesity,Excessive body weight,overweight|corpulence,NE80,Burns,Thermal injuries,broader,0.644,auto,approved
SAT-G.121,underweight,कृश,kṛśa,underweight,Below normal body weight,emaciation|thinness,5B82,Underweight,Below normal weight,narrower,0.867,manual,curated
SAT-D.122,psychosis,उन्माद,unmāda,psychosis,Mental disorder with loss of reality,insanity|mental derangement,6A20,Schizophrenia,Psychotic disorder,related,0.666,seed,curated
SAT-G.123,amnesia,अपस्मृति,apasmṛti,amnesia,Loss of memory,memory loss|forgetfulness,6D72,Amnesia,Loss of memory function,equivalent,0.857,auto,approved
SAT-C.124,anxiety,चित्तोद्वेग,cittodvega,anxiety,Mental restlessness and worry,nervousness|mental agitation,6A60,Bipolar disorder,Mood cycling disorder,narrower,0.444,auto,proposed
SID-8.2.25,rheumatism,வாதம்,vātam,rheumatism,Joint and muscle pain disorder,rheumatic pain|joint disorders,FA20,Rheumatoid arthritis,Inflammatory joint disease,related,0.75,auto,approved
SID-9.5.26,biliary disorders,பித்தம்,pittam,biliary disorders,Liver and gallbladder related conditions,bile disorders|hepatic problems,DA90,Liver disorders,Hepatic dysfunction,broader,0.736,auto,approved
SID-7.8.27,respiratory congestion,கபம்,kapam,respiratory congestion,Phlegm related respiratory issues,mucus disorders|catarrh,CA25,Chronic respiratory diseases,Long-term airway problems,related,0.598,auto,approved
SID-4.3.28,abdominal tumors,குன்மம்,kunmam,abdominal tumors,Growth in abdominal cavity,gastric mass|abdominal swelling,2A00,Malignant neoplasms,Cancerous growth,related,0.536,seed,proposed
SID-4.6.29,lymph node enlargement,கிரந்தி,kiranthi,lymph node enlargement,Swollen lymph glands,lymphadenopathy|glandular swelling,8B11,Alzheimer disease,Progressive dementia,broader,0.653,seed,proposed
UNA-13.8.30,bilious temperament,صفرا,ṣafrā,bilious temperament,Excess of yellow bile humor,choleric humor|hot temperament,ME0Y,Biliary disorders,Bile-related conditions,related,0.646,manual,proposed
UNA-4.3.31,phlegmatic temperament,بلغم,balgham,phlegmatic temperament,Excess of phlegm humor,cold humid temperament|mucus,CA2Y,Respiratory mucus disorders,Excessive mucus production,related,0.668,auto,curated
UNA-14.8.32,sanguine temperament,دم,dam,sanguine temperament,Blood-related disorders,blood humor|circulation,3A1Y,Blood disorders,Hematological conditions,broader,0.522,auto,proposed
UNA-2.2.33,melancholic temperament,سودا,sawdā,melancholic temperament,Black bile excess,melancholic humor|depression,5A11,Type 2 diabetes,Non-insulin dependent diabetes,related,0.278,auto,proposed
UNA-7.3.34,fevers,حمیات,ḥumayāt,fevers,Pyretic conditions,fever disorders|pyrexia,1G00,Fever,Elevated body temperature,broader,0.759,auto,approved
SAT-B.135,indigestion,अजीर्ण,ajīrṇa,indigestion,Impaired digestion due to weakened digestive fire (agni),dyspepsia|poor digestion,8A25,Gastritis,Inflammation of the gastric mucosa,equivalent,0.77,manual,curated
SAT-D.136,diarrhea,अतिसार,atisāra,diarrhea,Excessive loose bowel movements with increased frequency,loose motions|frequent stools,ME05,Diarrhoea,Passage of loose or liquid stools,unmapped,0,manual,proposed
SAT-I.137,malabsorption syndrome,ग्रहणी,grahaṇī,malabsorption syndrome,Disorder of small intestine affecting absorption,sprue|absorption disorder,8A44,Malabsorption syndromes,Impaired absorption of nutrients,equivalent,0.893,manual,approved
SAT-A.138,hemorrhoids,अर्श,arśa,hemorrhoids,Swollen blood vessels in anal canal,piles|anal varices,9B71,Haemorrhoids,Swollen veins in the anal canal,equivalent,0.976,seed,curated
SAT-I.139,asthma,श्वास,śvāsa,asthma,Difficulty in breathing with wheeze,breathing difficulty|dyspnea,8A62,Parkinson disease,Progressive neurological disorder,broader,0.661,seed,curated
SAT-E.140,cough,कास,kāsa,cough,Forceful expulsion of air from lungs,tussis|persistent cough,1D00,HIV disease,Human immunodeficiency virus,narrower,0.7,seed,approved
SAT-A.141,hiccup,हिक्का,hikkā,hiccup,Involuntary diaphragmatic spasm,hiccough|spasmodic breathing,MD80,Hiccup,Involuntary contraction of diaphragm,equivalent,0.853,auto,curated
SAT-H.142,common cold,प्रतिश्याय,pratiśyāya,common cold,Viral upper respiratory tract infection,rhinitis|nasal congestion,GA11,Endometriosis,Uterine tissue displacement,related,0.517,seed,proposed
SAT-E.143,epilepsy,अपस्मार,apasmāra,epilepsy,Recurrent seizures due to abnormal brain activity,seizure disorder|convulsions,8A61,Epilepsy,Recurrent unprovoked seizures,equivalent,0.912,manual,approved
SAT-G.144,migraine,अर्धावभेदक,ardhāvabhedaka,migraine,Unilateral throbbing headache,hemicrania|sick headache,3A20,Iron deficiency anemia,Lack of iron in blood,narrower,0.652,seed,approved
